Predominant Color,Secondary Color,Major Diameter (cm),Minor Diameter (cm),Aspect Ratio,Roundness,Elongation,Shape Type,Contrast,Correlation,Energy,Entropy,Edge Density,Hu Moment 1,Hu Moment 2,Hu Moment 3,Variety
Marron,Anaranjado,4.830166109662647,3.892679201877217,1.2408333333333332,0.7341162003979856,0.26588379960201436,Comprimido,4.959903994700807,0.9994651196757066,0.8394638807439204,2.4758586153004454,0.06212648842956639,0.7827728879543806,2.8257175932952254,4.527115758696885,V61
Marron,Anaranjado,4.220048517519789,3.3956434970470304,1.242783148816915,0.7135068151549092,0.2864931848450908,Comprimido,4.534966015454098,0.9996080626390603,0.8029371487000525,2.918889782789334,0.030241680957545723,0.7827851417343161,2.825398201632555,4.584244347582652,V61
Marron,Anaranjado,4.558571509012711,3.1912340827379655,0.7000513376676455,0.7053988134101981,0.29460118658980194,Eliptico,1.5596646309640534,0.9998573836039933,0.8342058365152016,2.3602445985057985,0.013605412985604163,0.7628742194986269,2.442738786216308,4.183102321273655,V61
Marron,Anaranjado,6.597013379263231,3.539893665676734,0.5365903420484008,0.6640407497654787,0.33595925023452133,Oblongo,1.809409147434454,0.9998600156303806,0.7850474354387286,2.9785237243717226,0.013952573842369418,0.7186409137124302,1.9648553148927537,4.394283454105266,V61
Marron,Anaranjado,5.630545208718709,3.000772406011066,0.5329452645836982,0.674269057781503,0.32573094221849697,Oblongo,9.181778077706545,0.999257527388378,0.7973647243732827,3.0834938134966774,0.11696468596313953,0.7181451678112191,1.9620955452990014,4.346215413540214,V61
Marron,Anaranjado,5.733002850529023,2.9690477674472646,0.5178870209655121,0.6975466948711222,0.3024533051288778,Oblongo,10.79039131669129,0.9991500430017461,0.7950591456111862,3.0808079893112965,0.09272791977652868,0.7119198911883292,1.9179055351706769,5.172265149624786,V61
Marron,Morado rojizo,4.254657106139262,3.3246368689908965,1.279735885089504,0.6990143239295316,0.30098567607046844,Comprimido,11.044945094905579,0.9988600730099656,0.8443482671149233,2.490524193202754,0.14930572185768795,0.7425286327086117,2.149715332381737,5.100015822074388,V61
Marron,Anaranjado,4.298746735014528,3.358226591278742,1.2800645275629408,0.6979903090239237,0.30200969097607633,Comprimido,7.080491112332786,0.9994527099526518,0.7906607889381448,3.105297299597012,0.06929112926949167,0.7428132986661182,2.152391847699084,5.096484042610926,V61
Marron,Anaranjado,5.5269851479938,3.8790276601815874,1.4248377769327552,0.6709750708727232,0.32902492912727677,Comprimido,13.813769700137248,0.9987673042374974,0.7908990251046976,3.2962454053544104,0.15779481286534705,0.7672800528567488,2.500053206059572,3.9428438815652225,V61
Marron,Anaranjado,5.170255217106438,3.0601735406947412,0.5918805575728203,0.6388004181126332,0.3611995818873668,Oblongo,3.9130007599317853,0.999538993892885,0.8579687460444814,2.120787330790305,0.052945884380964106,0.733352106344688,2.0665687150452703,5.123760117610201,V61
