Predominant Color,Secondary Color,Major Diameter (cm),Minor Diameter (cm),Aspect Ratio,Roundness,Elongation,Shape Type,Contrast,Correlation,Energy,Entropy,Edge Density,Hu Moment 1,Hu Moment 2,Hu Moment 3,Variety
Marron,Anaranjado,2.6394830766680855,2.0928459507186354,0.7928999315125408,0.7383911600830065,0.26160883991699346,Eliptico,6.921168364658691,0.9996026035114022,0.6800467080100842,4.070326524593068,0.008011774209611916,0.7619336401817888,2.3622014438507573,4.689485955524387,V1
Marron,Anaranjado,3.8567395857205997,2.1421331982140517,1.8004200620839341,0.6742457039883435,0.3257542960116565,Comprimido,5.779160435962149,0.9996499865843715,0.6583246245525808,4.191879284345492,0.005612928119113007,0.7164486550526586,1.9808668817584572,3.4260998749291507,V1
Marron,Anaranjado,2.999447262555657,1.8674841071998591,1.60614339420167,0.7870810427649098,0.21291895723509024,Comprimido,6.241099520142459,0.9996412168990932,0.6462277162861747,4.238344526797425,0.0037929694715320285,0.7514521293219996,2.2319015834090496,4.482818876978418,V1
Marron,Anaranjado,3.988964306615047,2.8259616250327397,0.7084449515746087,0.5601064353046815,0.4398935646953185,Eliptico,3.5866160040832535,0.9997659892704606,0.7166713918555516,3.6044871227573845,0.0067627382234123805,0.7077302272044966,1.9166867559247731,3.9507517801409566,V1
Marron,Rosado,3.8911443583437006,2.1830193992682685,0.5610224649176186,0.5914955954319877,0.4085044045680123,Oblongo,3.2881014822011676,0.9998011401912142,0.65360205202091,4.274014348122517,0.009170863881630223,0.7194259556419664,2.004629306044784,3.3976489862130204,V1
Marron,Morado rojizo,3.4955147313097497,2.458076457068082,1.4220528906896135,0.7216280974760071,0.2783719025239929,Comprimido,4.749451828714437,0.9996901719819199,0.6729908506323379,4.0801941343670824,0.008272857464679947,0.7674572649218058,2.4871832686496322,3.933713968444187,V1
Marron,Anaranjado,4.39549713374558,2.2818837233274127,1.9262581562815673,0.6661803439929921,0.3338196560070079,Comprimido,4.742222359303355,0.9996712393397107,0.7096652855837915,3.820786524052953,0.013033591973557749,0.7052184504908361,1.9094349001726338,3.331484398724059,V1
Marron,Anaranjado,3.9691673666472957,2.448508261135575,1.6210553297485981,0.7204673253904348,0.2795326746095652,Comprimido,3.38092013249908,0.9997863546697311,0.6474740445691569,4.190113756930687,0.002267733015807569,0.7288497140632634,2.07454679490257,3.4679911957709115,V1
Marron,Anaranjado,4.841787219359776,2.364907362125131,0.48843686328657787,0.6284718339591477,0.37152816604085226,Largo-oblongo,4.072823617193367,0.9997109571312323,0.6777265358959923,4.412650447187113,0.017207179273830503,0.662326542146959,1.66656091675193,4.119423539391725,V1
Marron,Rosado,4.0407965506728,2.8321278064022395,0.7008835438474835,0.7593907694276404,0.2406092305723596,Eliptico,5.4303991269615395,0.9996394668378027,0.6593141440946728,4.493731573244253,0.011998469590815698,0.7645198645185425,2.4155524520206653,4.032393803515168,V1
Marron,Anaranjado,4.1894943692910225,2.7926186531110857,0.66657653810946,0.828461951533801,0.17153804846619902,Oblongo,4.936292923258949,0.9996671498378583,0.6098100041380237,4.978042082268613,0.003951474203837586,0.7582987646008715,2.3130421779248733,4.190141845139711,V1
Marron,Anaranjado,3.8427283565307424,2.0110904939390712,1.9107684950586628,0.6121843994311507,0.38781560056884934,Comprimido,8.369884095083691,0.9994864440207502,0.6653586919215608,4.4384279016295896,0.018908852213486742,0.705939583476755,1.9080074456635134,3.426962470540362,V1
Marron,Anaranjado,4.622493242330735,2.3758991255442967,0.5139865005722172,0.6979683205609809,0.3020316794390191,Oblongo,7.849446150120732,0.9995046012978278,0.5885330312200004,5.187166302726733,0.014793302928388704,0.6925517938716274,1.8241794810820253,3.4140210022119635,V1
Marron,Anaranjado,5.382982976402894,2.691353687508185,2.0001024025150627,0.7021623375651015,0.2978376624348985,Comprimido,4.0748319810084555,0.999752464753194,0.661139926911562,4.232849987452299,0.002825279648220443,0.6836486967852035,1.7792260384961425,3.3493078257181503,V1
Marron,Anaranjado,4.69291355298913,2.4347000561689693,1.9275119910965492,0.6874551502380706,0.3125448497619294,Comprimido,5.283158575675129,0.9996640470456497,0.6782098688831865,4.16629647070214,0.010310096482278857,0.6991900978417663,1.8606340266056183,3.4751499635193905,V1
Marron,Anaranjado,4.246311737268367,2.209601664555641,0.520357854361646,0.6939400979556515,0.3060599020443485,Oblongo,1.9759642653930762,0.9998710941550659,0.6884563167239685,3.8071791126864314,0.004052875987010733,0.6994013403370071,1.8617065181595787,3.4799856284985573,V1
